Search results:
    jquery_jeditable git://github.com/chilijung/jquery_jeditable.git
    jquery-popupwindow git://github.com/mkdynamic/jquery-popupwindow.git
    jquery.videoBG git://github.com/sydlawrence/jquery.videoBG.git
    jquery-bez git://github.com/rdallasgray/bez.git
    jquery.autoGrowInput git://github.com/radilr1/jquery.autoGrowInput.git
    jquery.onoff git://github.com/timmywil/jquery.onoff.git
    jquery-fullscreen git://github.com/kayahr/jquery-fullscreen-plugin.git
    jquery-inputlimiter git://github.com/mythril/jquery-inputlimiter.git
    jquery-countTo git://github.com/Atolye15-packs/jquery-countTo.git
    jquery-expander git://github.com/kswedberg/jquery-expander.git
    jquery.parallax git://github.com/alisamar/parallax.git
    jquery-metadata git://github.com/jquery/jquery-metadata
    jquery.rdio git://github.com/rdio/jquery.rdio.js.git
    jquery-simply-countable git://github.com/weisjohn/jquery-simply-countable.git
    jquery-elementDiff git://github.com/ngs/jquery-elementDiff.git
    jquery.dform git://github.com/daffl/jquery.dform.git
    jqm-flatui git://github.com/ququplay/jquery-mobile-flat-ui-theme.git
    angular-jquery-timepicker git://github.com/Recras/angular-jquery-timepicker.git
    jquery.metadata git://github.com/jquery-orphans/jquery-metadata.git
    modal git://github.com/ksylvest/jquery-modal.git
    jeditable git://github.com/tuupola/jquery_jeditable.git
    jquery-rdfquery git://github.com/components/jquery-rdfquery.git
    gridly git://github.com/ksylvest/jquery-gridly.git
    jquery-carousel git://github.com/backflip/jquery-carousel.git
    dt-jquery2 git://github.com/dt-bower/dt-jquery.git
    jquery-oauthpopup git://github.com/MfgLabs/jquery-oauthpopup.git
    jquery-reveal git://github.com/VitalikL/reveal.git
    jquery-cardify git://github.com/mverhaagen/cardify.git
    jquery.mosaicflow git://github.com/sapegin/jquery.mosaicflow
    jquery-date-range-picker git://github.com/longbill/jquery-date-range-picker.git
    jquery-placeholder2 git://github.com/jgallen23/jquery-placeholder.git
    jquery-dragon git://github.com/jeremyckahn/dragon.git
    jquery-smart-vimeo-embed git://github.com/hansoninc/jquery-smart-vimeo-embed.git
    jquery-scrollstop git://github.com/ssorallen/jquery-scrollstop.git
    jQuery.validVal git://github.com/BeSite/jQuery.validVal.git
    jquery-allAttributes git://github.com/ngs/jquery-allAttributes.git
    jquery-local-storage git://github.com/bradberger/jquery-local-storage.git
    addyosmani-jquery-ui-bootstrap git://github.com/addyosmani/jquery-ui-bootstrap.git
    jquery-i18n-property git://github.com/gejiawen/jquery.i18n.properties.git
    jquery.backgroundSize git://github.com/louisremi/jquery.backgroundSize.js.git
    jquery-xdr git://github.com/redbadger/jquery-xdr.git
    jquery-scroll-into-view git://github.com/Arwid/jQuery.scrollIntoView.git
    jquery.ezmodal.js git://github.com/MailOnline/jquery.ezmodal.js.git
    rxjs-jquery git://github.com/Reactive-Extensions/rxjs-jquery
    webapps-bower-jquery-ui git://github.com/xl8/webapps-bower-jquery-ui.git
    carousel git://github.com/ksylvest/jquery-carousel.git
    papa.parse git://github.com/mholt/jquery.parse.git
    jquery.scrollIntoView git://github.com/Arwid/jQuery.scrollIntoView.git
